antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"['lord of the rings: the fellowship of the ring, the (2001)', 'lord of the rings: the two towers, the (2002)']","['matrix, the (1999)', 'lord of the rings: the return of the king, the (2003)']",0.2721311475409836,0.24262295081967214,0.21311475409836064,0.7831325301204819,3.2277759687398238,1.0,0.14708949207202365,3.492349726775956,0.9482328482328484,0.7065217391304347,0.7136598341417618,0.8307554542494301
"['matrix, the (1999)', 'lord of the rings: the return of the king, the (2003)']","['lord of the rings: the fellowship of the ring, the (2001)', 'lord of the rings: the two towers, the (2002)']",0.24262295081967214,0.2721311475409836,0.21311475409836064,0.8783783783783783,3.2277759687398238,1.0,0.14708949207202365,5.984699453551909,0.9112887112887115,0.7065217391304347,0.8329072315558801,0.8307554542494301
"['lord of the rings: the fellowship of the ring, the (2001)', 'lord of the rings: the return of the king, the (2003)']","['lord of the rings: the two towers, the (2002)', 'matrix, the (1999)']",0.27049180327868855,0.2442622950819672,0.21311475409836064,0.7878787878787877,3.225544030913158,1.0,0.1470438054286482,3.5627634660421523,0.9458081244598098,0.7065217391304347,0.7193190034838624,0.8301810046776489
"['lord of the rings: the two towers, the (2002)', 'matrix, the (1999)']","['lord of the rings: the fellowship of the ring, the (2001)', 'lord of the rings: the return of the king, the (2003)']",0.2442622950819672,0.27049180327868855,0.21311475409836064,0.87248322147651,3.225544030913158,1.0,0.1470438054286482,5.7208800690250206,0.9129818121141331,0.7065217391304347,0.8252017193273506,0.8301810046776489
"['lord of the rings: the return of the king, the (2003)']","['lord of the rings: the fellowship of the ring, the (2001)', 'lord of the rings: the two towers, the (2002)', 'matrix, the (1999)']",0.30327868852459017,0.22131147540983606,0.21311475409836064,0.7027027027027026,3.175175175175175,1.0,0.14599570008062346,2.6192250372578236,0.983257918552036,0.6842105263157894,0.618207681365576,0.8328328328328327
"['lord of the rings: the fellowship of the ring, the (2001)', 'lord of the rings: the two towers, the (2002)', 'matrix, the (1999)']","['lord of the rings: the return of the king, the (2003)']",0.22131147540983606,0.30327868852459017,0.21311475409836064,0.9629629629629629,3.175175175175175,1.0,0.14599570008062346,18.81147540983604,0.8797570850202429,0.6842105263157894,0.9468409586056644,0.8328328328328327
"['lord of the rings: the fellowship of the ring, the (2001)', 'matrix, the (1999)']","['lord of the rings: the two towers, the (2002)', 'lord of the rings: the return of the king, the (2003)']",0.2573770491803279,0.2639344262295082,0.21311475409836064,0.8280254777070063,3.1372393875855518,1.0,0.1451840902983069,4.28008500303582,0.91735438953982,0.6914893617021277,0.7663597804037281,0.8177394469280372
"['lord of the rings: the two towers, the (2002)', 'lord of the rings: the return of the king, the (2003)']","['lord of the rings: the fellowship of the ring, the (2001)', 'matrix, the (1999)']",0.2639344262295082,0.2573770491803279,0.21311475409836064,0.8074534161490683,3.1372393875855518,1.0,0.1451840902983069,3.8568482284505547,0.9255268117183485,0.6914893617021277,0.7407209356532708,0.8177394469280372
"['star wars: episode vi - return of the jedi (1983)', 'raiders of the lost ark (indiana jones and the raiders of the lost ark) (1981)']","['star wars: episode v - the empire strikes back (1980)', 'star wars: episode iv - a new hope (1977)']",0.2081967213114754,0.3114754098360656,0.2,0.9606299212598426,3.0841276419394945,1.0,0.1351518409029831,17.488524590163966,0.8534433017683196,0.6256410256410257,0.9428196475440571,0.8013675922088687
"['star wars: episode v - the empire strikes back (1980)', 'star wars: episode iv - a new hope (1977)']","['star wars: episode vi - return of the jedi (1983)', 'raiders of the lost ark (indiana jones and the raiders of the lost ark) (1981)']",0.3114754098360656,0.2081967213114754,0.2,0.6421052631578947,3.0841276419394945,1.0,0.1351518409029831,2.2123915139826424,0.9814597970335677,0.6256410256410257,0.5480004358722894,0.8013675922088687
"['lord of the rings: the fellowship of the ring, the (2001)', 'matrix, the (1999)', 'lord of the rings: the return of the king, the (2003)']","['lord of the rings: the two towers, the (2002)']",0.22459016393442624,0.3081967213114754,0.21311475409836064,0.948905109489051,3.0788942382357507,1.0,0.1438968019349637,13.53957845433254,0.870775735892015,0.6666666666666666,0.9261424568443629,0.8201972355955893
"['lord of the rings: the two towers, the (2002)']","['lord of the rings: the fellowship of the ring, the (2001)', 'matrix, the (1999)', 'lord of the rings: the return of the king, the (2003)']",0.3081967213114754,0.22459016393442624,0.21311475409836064,0.6914893617021276,3.0788942382357507,1.0,0.1438968019349637,2.5133973996608248,0.9760116660590593,0.6666666666666666,0.6021321577976698,0.8201972355955893
"['godfather, the (1972)']","['godfather: part ii, the (1974)']",0.31475409836065577,0.21147540983606558,0.20491803278688525,0.6510416666666666,3.0785691214470283,1.0,0.13835528083848428,2.2596525568876924,0.9853014354066988,0.6377551020408163,0.5574540887040886,0.810016957364341
"['godfather: part ii, the (1974)']","['godfather, the (1972)']",0.21147540983606558,0.31475409836065577,0.20491803278688525,0.9689922480620154,3.078569121447028,1.0,0.13835528083848428,22.09918032786881,0.8562494802494803,0.6377551020408163,0.9547494529134675,0.810016957364341
"['lord of the rings: the return of the king, the (2003)']","['lord of the rings: the fellowship of the ring, the (2001)', 'lord of the rings: the two towers, the (2002)']",0.30327868852459017,0.2721311475409836,0.25245901639344265,0.8324324324324325,3.0589384565288182,1.0,0.1699274388605214,4.343733474352196,0.9660809778456838,0.7817258883248733,0.7697832968103238,0.8800716379029633
